"learning_objective","description","predictedItem","itemTitle"
"learning_objective_294","Cancer de l'enfant : particularités épidémiologiques, diagnostiques et thérapeutiques","297","Cancer de l’enfant : particularités épidémiologiques, diagnostiques et thérapeutiques"
"learning_objective_295","Tumeurs de la cavité buccale, naso-sinusiennes et du cavum, et des voies aérodigestives supérieures.","298","Tumeurs de la cavité buccale, naso-sinusiennes et du cavum, et des voies aérodigestives supérieures"
"learning_objective_296","Tumeurs intracrâniennes","299","Tumeurs intracrâniennes"
"learning_objective_297","Tumeurs du col utérin, tumeur du corps utérin","300","Tumeurs du col utérin, tumeur du corps utérin"
"learning_objective_298","Tumeurs du colon et du rectum","301","Tumeurs du colon et du rectum"
"learning_objective_299","Tumeurs cutanées, épithéliales et mélaniques","302","Tumeurs cutanées, épithéliales et mélaniques"
"learning_objective_30","Accouchement, délivrance et suites de couches normales","0","Item Not Found"
"learning_objective_300","Tumeurs de l'estomac","0","Item Not Found"
"learning_objective_301","Tumeurs du foie, primitives et secondaires","304","Tumeurs du foie, primitives et secondaires"
"learning_objective_302","Tumeurs de l''sophage","305","Tumeurs de l’œsophage"
"learning_objective_303","Tumeurs de l'ovaire","306","Tumeurs de l’ovaire"
"learning_objective_304","Tumeurs des os primitives et secondaires","307","Tumeurs des os primitives et secondaires"
"learning_objective_305","Tumeurs du pancréas","308","Tumeurs du pancréas"
"learning_objective_306","Tumeurs du poumon, primitives et secondaires","309","Tumeurs du poumon, primitives et secondaires"
"learning_objective_307","Tumeurs de la prostate","310","Tumeurs de la prostate"
"learning_objective_308","Tumeurs du rein","0","Item Not Found"
"learning_objective_309","Tumeurs du sein","312","Tumeurs du sein"
"learning_objective_31","Évaluation et soins du nouveau-né à terme","32","Évaluation et soins du nouveau-né à terme"
"learning_objective_310","Tumeurs du testicule","313","Tumeurs du testicule"
"learning_objective_311","Tumeurs vésicales","314","Tumeurs vésicales"
"learning_objective_312","Leucémies aiguës","315","Leucémies aiguës"
"learning_objective_313","Syndromes myélodysplasiques","316","Syndromes myélodysplasiques"
"learning_objective_314","Syndromes myéloprolifératifs","316","Syndromes myélodysplasiques"
"learning_objective_315","Leucémies lymphoïdes chroniques","318","Leucémies lymphoïdes chroniques"
"learning_objective_316","Lymphomes malins","319","Lymphomes malins"
"learning_objective_317","Myélome multiple des os","320","Myélome multiple des os"
"learning_objective_318","Principe du bon usage du médicament et des thérapeutiques non médicamenteuses","321","Principe du bon usage du médicament et des thérapeutiques non médicamenteuses"
"learning_objective_319","La décision thérapeutique personnalisée : bon usage dans des situations à risque","326","Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage"
"learning_objective_32","Allaitement maternel","33","Allaitement maternel"
"learning_objective_320","Analyser et utiliser les résultats des études cliniques dans la perspective du bon usage - analyse critique, recherche clinique et niveaux de preuve","323","Analyser et utiliser les résultats des études cliniques dans la perspective du bon usage - analyse critique, recherche clinique et niveaux de preuve "
"learning_objective_321","Education thérapeutique, observance et automédication","324","Éducation thérapeutique, observance et automédication"
"learning_objective_322","Identification et gestion des risques liés aux médicaments et aux biomatériaux, risque iatrogène, erreur médicamenteuse (voir item 4 et item 5)","325","Identification et gestion des risques liés aux médicaments et aux biomatériaux, risque iatrogène, erreur médicamenteuse"
"learning_objective_323","Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage","326","Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage"
"learning_objective_324","Thérapeutiques non médicamenteuses et dispositifs médicaux","328","Thérapeutiques non médicamenteuses et dispositifs médicaux"
"learning_objective_325","Transfusion sanguine et produits dérivés du sang : indications, complications. Hémovigilance","181","La sécurité sanitaire des produits destinés à l’homme. La veille sanitaire"
"learning_objective_326","Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant.","330","Prescription et surveillance des classes de médicaments les plus courantes chez l’adulte et chez l’enfant, hors anti-infectieux . Connaître le bon usage des principales classes thérapeutiques"
"learning_objective_327","Arrêt cardio-circulatoire","331","Arrêt cardio-circulatoire"
"learning_objective_328","État de choc. Principales étiologies : hypovolémique, septique (voir item 154), cardiogénique, anaphylactique","332","État de choc. Principales étiologies : hypovolémique, septique, cardio-génique, anaphylactique"
"learning_objective_329","Prise en charge immédiate pré-hospitalière et à l'arrivée à l'hôpital, évaluation des complications chez :","334","Prise en charge immédiate pré-hospitalière et à l’arrivée à l’hôpital, évaluation des complications chez : un brûlé, un polytraumatisé, un traumatisé thoracique, un traumatisé abdominal, un traumatisé des membres et/ou du bassin, un traumatisé du rachis ou vertébro-médullaire, un traumatisé crânien ou crânio-encéphalique"
"learning_objective_33","Suites de couches pathologiques : pathologie maternelle dans les 40 jours","34","Suites de couches pathologiques : pathologie maternelle dans les 40 jours"
"learning_objective_330","Orientation diagnostique et conduite à tenir devant un traumatisme cranio-facial","335","Orientation diagnostique et conduite à tenir devant un traumatisme crânio-facial et oculaire"
"learning_objective_331","Coma non traumatique chez l'adulte et chez l'enfant","336","Coma non traumatique chez l’adulte et chez l’enfant"
"learning_objective_332","Principales intoxications aiguës","337","Principales intoxications aiguës"
"learning_objective_333","Oedème de Quincke et anaphylaxie","338","Œdème de Quincke et anaphylaxie"
"learning_objective_334","Syndromes coronariens aigus","339","Syndromes coronariens aigus"
"learning_objective_335","Accidents vasculaires cérébraux","0","Item Not Found"
"learning_objective_336","Hémorragie méningée","341","Hémorragie méningée"
"learning_objective_337","Malaise, perte de connaissance, crise comitiale chez l'adulte","105","Épilepsie de l’enfant et de l’adulte"
"learning_objective_338","État confusionnel et trouble de conscience chez l'adulte et chez l'enfant","343","État confusionnel et trouble de conscience chez l’adulte et chez l’enfant"
"learning_objective_339","Prise en charge d'une patiente atteinte de pré-éclampsie","344","Prise en charge d’une patiente atteinte de pré-éclampsie"
"learning_objective_34","Anomalies du cycle menstruel. Métrorragies","35","Anomalies du cycle menstruel. Métrorragies"
"learning_objective_340","Malaise grave du nourrisson et mort subite","345","Malaise grave du nourrisson et mort inattendue du nourrisson"
"learning_objective_341","Convulsions chez le nourrisson et chez l'enfant","0","Item Not Found"
"learning_objective_342","Rétention aiguë d'urine","347","Rétention aiguë d’urine"
"learning_objective_343","Insuffisance rénale aiguë - Anurie","348","Insuffisance rénale aiguë - Anurie"
"learning_objective_344","Infection aiguë des parties molles (abcès, panaris, phlegmon des gaines)","349","Infection aiguë des parties molles (abcès, panaris, phlegmon des gaines)"
"learning_objective_345","Grosse jambe rouge aiguë","350","Grosse jambe rouge aiguë"
"learning_objective_346","Agitation et délire aiguë","351","Agitation et délire aigu"
"learning_objective_347","Crise d'angoisse aiguë et attaque de panique","352","Crise d’angoisse aiguë et attaque de panique"
"learning_objective_348","Risque et conduite suicidaires chez l'enfant, l'adolescent et l'adulte : identification et prise en charge","353","Risque et conduite suicidaires chez l’enfant, l’adolescent et l’adulte : identification et prise en charge"
"learning_objective_349","Syndrome occlusif de l'enfant et de l'adulte","354","Syndrome occlusif de l’enfant et de l’adulte"
"learning_objective_35","Contraception","0","Item Not Found"
"learning_objective_350","Hémorragie digestive","0","Item Not Found"
"learning_objective_351","Appendicite de l'enfant et de l'adulte","356","Appendicite de l’enfant et de l’adulte"
"learning_objective_352","Péritonite aiguë chez l'enfant et chez l'adulte","357","Péritonite aiguë chez l’enfant et chez l’adulte"
"learning_objective_353","Pancréatite aiguë","358","Pancréatite aiguë"
"learning_objective_354","Détresse respiratoire aigüe du nourrisson, de l'enfant et de l'adulte","359","Détresse et insuffisance respiratoire aigüe du nourrisson, de l’enfant et de l’adulte"
"learning_objective_355","Insuffisance respiratoire aiguë","359","Détresse et insuffisance respiratoire aigüe du nourrisson, de l’enfant et de l’adulte"
"learning_objective_356","Pneumothorax","360","Pneumothorax"
"learning_objective_357","Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l'épaule","361","Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l’épaule"
"learning_objective_358","Prothèses et ostéosynthèses","362","Prothèses et ostéosynthèses"
"learning_objective_359","Fractures fréquentes de l'adulte et du sujet âgé","363","Fractures fréquentes de l’adulte et du sujet âgé"
"learning_objective_36","Interruption volontaire de grossesse","37","Interruption volontaire de grossesse"
"learning_objective_360","Fractures chez l'enfant : particularités épidémiologiques, diagnostiques et thérapeutiques","364","Fractures chez l’enfant : particularités épidémiologiques, diagnostiques et thérapeutiques"
"learning_objective_361","Surveillance d'un malade sous plâtre, diagnostiquer une complication","365","Surveillance d’un malade sous plâtre/résine"
"learning_objective_362","Exposition accidentelle aux liquides biologiques : conduite à tenir","366","Exposition accidentelle aux liquides biologiques : conduite à tenir"
"learning_objective_37","Stérilité du couple : conduite de la première consultation","38","Infertilité du couple : conduite de la première consultation"
"learning_objective_38","Assistance médicale à la procréation : principaux aspects biologiques, médicaux et éthiques","39","Assistance médicale à la procréation : principaux aspects biologiques, médicaux et éthiques"
"learning_objective_39","Algies pelviennes chez la femme","40","Algies pelviennes chez la femme"
"learning_objective_40","Aménorrhée","42","Aménorrhée"
"learning_objective_41","Hémorragie génitale chez la femme","43","Hémorragie génitale chez la femme"
"learning_objective_42","Tuméfaction pelvienne chez la femme","44","Tuméfaction pelvienne chez la femme"
"learning_objective_43","Problèmes posés par les maladies génétiques, à propos :","45","Spécificités des maladies génétiques."
"learning_objective_44","Suivi d'un nourrisson, d'un enfant et d'un adolescent normal.","47","Suivi d’un nourrisson, d’un enfant et d’un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles"
"learning_objective_45","Alimentation et besoins nutritionnels du nourrisson et de l'enfant","48","Alimentation et besoins nutritionnels du nourrisson et de l’enfant"
"learning_objective_46","Développement buccodentaire et anomalies","90","Pathologie des glandes salivaires"
"learning_objective_47","Puberté normale et pathologique","49","Puberté normale et pathologique"
"learning_objective_48","Pathologie génito-scrotale chez le garçon et chez l'homme","50","Pathologie génito-scrotale chez le garçon et chez l’homme"
"learning_objective_49","Troubles de la miction chez l'enfant","51","Troubles de la miction chez l’enfant"
"learning_objective_50","Strabisme de l'enfant","52","Strabisme et amblyopie de l’enfant"
"learning_objective_51","Retard de croissance staturo-pondérale","53","Retard de croissance staturo-pondérale"
"learning_objective_52","Boiterie chez l'enfant","54","Boiterie chez l’enfant"
"learning_objective_53","Développement psychomoteur du nourrisson et de l'enfant :","55","Développement psychomoteur du nourrisson et de l’enfant : aspects normaux et pathologiques (sommeil, alimentation, contrôles sphinctériens, psychomotricité, langage, intelligence). L’installation précoce de la relation parents-enfant et son importance. Troubles de l’apprentissage."
"learning_objective_54","L'enfant handicapé : orientation et prise en charge (voir items 115, 117)","56","L’enfant handicapé : orientation et prise en charge"
"learning_objective_55","Maltraitance et enfants en danger. Protection maternelle et infantile","57","Maltraitance et enfants en danger. Protection maternelle et infantile"
"learning_objective_56","Sexualité normale et ses troubles","0","Item Not Found"
"learning_objective_57","Sujets en situation de précarité","59","Sujets en situation de précarité"
"learning_objective_58","Connaître les facteurs de risque, prévention, dépistage des troubles psychiques de l'enfant à la personne âgée","60","Connaître les facteurs de risque, prévention, dépistage des troubles psychiques de l’enfant à la personne âgée"
"learning_objective_59","Connaître les bases des classifications des troubles mentaux de l'enfant à la personne âgée","61","Connaître les bases des classifications des troubles mentaux de l’enfant à la personne âgée"
"learning_objective_60","Décrire l'organisation de l'offre de soins en psychiatrie, de l'enfant à la personne âgée","62","Décrire l’organisation de l’offre de soins en psychiatrie, de l’enfant à la personne âgée"
"learning_objective_61","Trouble schizophrénique de l'adolescent et de l'adulte","63","Troubles schizophréniques de l’adolescent et de l’adulte"
"learning_objective_62","Trouble bipolaire de l'adolescent et de l'adulte","64","Troubles bipolaires de l’adolescent et de l’adulte"
"learning_objective_63","Trouble délirant persistant","65","Trouble délirant persistant"
"learning_objective_64","Diagnostiquer : un trouble dépressif, un trouble anxieux généralisé, un trouble panique, un trouble phobique, un trouble obsessionnel compulsif,","66","Diagnostiquer : un trouble dépressif, un trouble anxieux, un trouble obsessionnel compulsif, un trouble de stress post-traumatique, un trouble de l’adaptation, un trouble de la personnalité"
"learning_objective_65","Troubles envahissants du développement (voir items 115, 117, 118, 135)","115","Toxidermies"
"learning_objective_66","Troubles du comportement de l'adolescent","68","Troubles du comportement de l’enfant et de l’adolescent"
"learning_objective_67","Troubles psychiques de la grossesse et du post-partum","69","Troubles psychiques de la grossesse et du post-partum"
"learning_objective_68","Troubles psychiques du sujet âgé","70","Troubles psychiques du sujet âgé"
"learning_objective_69","Troubles des conduites alimentaires chez l'adolescent et l'adulte (voir item 251)","251","Amaigrissement à tous les âges"
"learning_objective_70","Troubles somatoformes à tous les âges","72","Troubles à symptomatologie somatique et apparentés à tous les âges"
"learning_objective_71","Différents types de techniques psychothérapeutiques","73","Différents types de techniques psychothérapeutiques"
"learning_objective_72","Prescription et surveillance des psychotropes (voir item 326)","74","Prescription et surveillance des psychotropes"
"learning_objective_73","Addiction au tabac.","75","Addiction au tabac"
"learning_objective_74","Addiction à l'alcool.","76","Addiction à l’alcool"
"learning_objective_75","Addiction aux médicaments psychotropes (benzodiazépines et apparentés) (voir item 319)","77","Addiction aux médicaments psychotropes (benzodiazépines et apparentés)."
"learning_objective_76","Addiction au cannabis, à la cocaïne, aux amphétamines, aux opiacés, aux drogues de synthèse (voir item 319)","78","Addiction au cannabis, à la cocaïne, aux amphétamines, aux opiacés, aux drogues de synthèse."
"learning_objective_77","Addictions comportementales","79","Addictions comportementales"
"learning_objective_78","Dopage (voir item 253)","80","Dopage et conduites dopantes."
